experiment,subject,target,vector,hemi,rotaiton_adjustment,angle,hit_ap,hit_ml,hit_dv,exclude_da_consumption,exclude_optochar,note
acd,acd09,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.74,2.2,-5,0,0,NA
acd,acd09,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.15,-3,0,0,NA
acd,acd09,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.46,2.75,-3,0,0,NA
acd,acd09,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.94,3,-3.6,0,0,NA
acd,acd09,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.82,1,-4.8,0,0,NA
acd,acd09,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,1.15,-4.95,0,0,NA
acd,acd10,NAcCR,GRAB DA2m; Chrimson-tdTomato,right,90,10,1.94,1.1,-4.05,0,0,NA
acd,acd10,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.7,-4.25,0,0,NA
acd,acd10,NAcShL,GRAB DA2m; Chrimson-tdTomato,left,0,10,0.74,1.95,-4.7,0,0,NA
acd,acd10,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,-0.22,1.7,-2.45,0,0,NA
acd,acd10,DLS,GRAB DA2m; Chrimson-tdTomato,right,0,5,-0.94,2.75,-2.65,0,0,NA
acd,acd10,TS,GRAB DA2m; Chrimson-tdTomato,right,0,10,-2.18,3.1,-3.4,1,1,miss
acd,acd10,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,0,-1.82,1.05,-4.75,0,0,NA
acd,acd10,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.82,1,-4.7,0,0,NA
acd,acd11,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.78,1,-4.05,0,0,NA
acd,acd11,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.8,-4.5,0,0,NA
acd,acd11,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.74,2.1,-4.9,0,0,NA
acd,acd11,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.4,-2.85,0,0,NA
acd,acd11,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.82,2.9,-3.05,0,0,NA
acd,acd11,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-2.06,3.3,-3.55,0,0,NA
acd,acd11,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.82,1.05,-4.85,0,0,NA
acd,acd11,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.82,1,-4.7,0,0,NA
acd,acd12,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.78,1,-4.1,0,0,NA
acd,acd12,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.8,-4.55,0,0,NA
acd,acd12,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.74,2,-5,0,0,NA
acd,acd12,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.14,1.4,-2.85,0,0,NA
acd,acd12,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.94,2.8,-2.9,0,0,NA
acd,acd12,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-1.94,3.25,-3.3,0,0,NA
acd,acd12,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.7,1.1,-4.9,0,0,NA
acd,acd12,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.7,0.9,-5,0,0,NA
acd,acd13,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.78,0.9,-4.1,0,0,NA
acd,acd13,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.8,-4.3,0,0,NA
acd,acd13,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.74,1.9,-4.8,0,0,NA
acd,acd13,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,-0.1,1.3,-2.85,0,0,NA
acd,acd13,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.7,2.6,-2.6,0,0,NA
acd,acd13,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,NA,NA,NA,1,1,miss
acd,acd13,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.94,1.05,-4.7,0,0,NA
acd,acd13,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-2.18,1.2,-4.65,0,0,NA
acd,acd14,NAcCR,GRAB DA2m; Chrimson-tdTomato,left,90,10,1.94,0.9,-4.6,0,0,NA
acd,acd14,NAcCC,GRAB DA2m; Chrimson-tdTomato,left,0,0,0.98,0.75,-4.7,0,0,NA
acd,acd14,NAcShL,GRAB DA2m; Chrimson-tdTomato,right,0,10,0.74,1.9,-5.2,0,0,NA
acd,acd14,DMS,GRAB DA2m; Chrimson-tdTomato,right,90,5,0.02,1.3,-2.9,0,0,NA
acd,acd14,DLS,GRAB DA2m; Chrimson-tdTomato,left,0,5,-0.82,2.9,-2.95,0,0,NA
acd,acd14,TS,GRAB DA2m; Chrimson-tdTomato,left,0,10,-2.06,3.1,-3.3,0,0,NA
acd,acd14,LHA,GRAB DA2m; Chrimson-tdTomato,right,0,10,-1.94,0.9,-4.9,0,0,NA
acd,acd14,LHA,GRAB DA2m; Chrimson-tdTomato,left,0,0,-1.94,1,-5,0,0,NA
